216,Bauhinia racemosa,Jungle Jalebi,2024-12-07 12:16:18.101536+00,2024-12-07 12:16:18.102221+00,जंगल जलेबी,Fruit
217,Citrus sinensis,Orange,2024-12-07 12:16:18.10157+00,2024-12-07 12:16:18.102231+00,संतरा,Fruit
218,Citrus limetta,Mosambi,2024-12-07 12:16:18.101581+00,2024-12-07 12:16:18.102239+00,मौसमी,Fruit
219,Citrus limon,Lemon,2024-12-07 12:16:18.101589+00,2024-12-07 12:16:18.102247+00,नींबू,Fruit
220,Terminalia bellerica,Bahera,2024-12-07 12:16:18.101597+00,2024-12-07 12:16:18.102263+00,बहेड़ा,Medicinal
221,Capparis decidua,Hingot,2024-12-07 12:16:18.101606+00,2024-12-07 12:16:18.102271+00,हिंगोट,Medicinal
222,Manilkara hexandra,Khirni,2024-12-07 12:16:18.101615+00,2024-12-07 12:16:18.102279+00,खुदनी,Fruit
223,Asparagus racemosus,Shatavari,2024-12-07 12:16:18.101623+00,2024-12-07 12:16:18.102286+00,शतावरी,Medicinal
224,Azadirachta indica,Neemuch,2024-12-07 12:16:18.10163+00,2024-12-07 12:16:18.102294+00,नीमच,Medicinal
225,Tamarindus indica,Imli,2024-12-07 12:16:18.101638+00,2024-12-07 12:16:18.102302+00,इमली,Fruit
226,Nyctanthes arbor-tristis,Harsingar,2024-12-07 12:16:18.101646+00,2024-12-07 12:16:18.10231+00,हरसिंगार,Medicinal
227,Acacia nilotica,Safed Kikar,2024-12-07 12:16:18.101653+00,2024-12-07 12:16:18.102318+00,सफेद कीकर,Timber
228,Bauhinia variegata,Kachnar,2024-12-07 12:16:18.101661+00,2024-12-07 12:16:18.102327+00,कचनार,Medicinal
229,Ficus racemosa,Gonda,2024-12-07 12:16:18.101669+00,2024-12-07 12:16:18.102335+00,गोंडा,Medicinal
230,Tectona grandis,Sagon,2024-12-07 12:16:18.101676+00,2024-12-07 12:16:18.102343+00,सागौन,Timber
231,Dalbergia Sissoo,Seesam,2024-12-07 12:16:18.101684+00,2024-12-07 12:16:18.102351+00,शीशम,Timber
232,Arduous species (not clear),Ardu,2024-12-07 12:16:18.101693+00,2024-12-07 12:16:18.102358+00,आर्दु,Timber
233,Pongamia pinnata,Karanj,2024-12-07 12:16:18.101701+00,2024-12-07 12:16:18.102366+00,करंज,Medicinal
234,Anthocephalus cadamba,Kadamb,2024-12-07 12:16:18.101709+00,2024-12-07 12:16:18.102374+00,कदंब,Religious
235,Acacia arabica,Kikar,2024-12-07 12:16:18.101716+00,2024-12-07 12:16:18.102381+00,कीकर,Timber
236,Butea monosperma,Dhak,2024-12-07 12:16:18.101724+00,2024-12-07 12:16:18.102389+00,ढाक,Medicinal
237,Diospyros lotus,Tendu,2024-12-07 12:16:18.101732+00,2024-12-07 12:16:18.102397+00,तेंदू,Commercial
238,Cenchrus ciliaris,Chokar,2024-12-07 12:16:18.101739+00,2024-12-07 12:16:18.102404+00,चोकर,Commercial
239,Albizia lebbeck,Siris,2024-12-07 12:16:18.101747+00,2024-12-07 12:16:18.102412+00,सिरस,Timber
240,Cassia fistula,Amaltas,2024-12-07 12:16:18.101755+00,2024-12-07 12:16:18.10242+00,अमलतास,Ornamental
241,Boswellia serrata,Salai,2024-12-07 12:16:18.10176+00,2024-12-07 12:16:18.102428+00,सालई,Medicinal
242,Madhuca longifolia,Mahua,2024-12-07 12:16:18.101765+00,2024-12-07 12:16:18.102436+00,महुआ,Commercial
243,Syzygium cumini,Jamun,2024-12-07 12:16:18.101769+00,2024-12-07 12:16:18.102445+00,जामुन,Fruit
244,Ficus glomerata,Gular,2024-12-07 12:16:18.101774+00,2024-12-07 12:16:18.102453+00,गुलर,Medicinal
245,Acacia catechu,Khair,2024-12-07 12:16:18.101779+00,2024-12-07 12:16:18.10246+00,खैर,Commercial
246,Ficus benghalensis,Banyan,2024-12-07 12:16:18.101783+00,2024-12-07 12:16:18.102469+00,बरगद,Religious
247,Psidium guajava,Amrood,2024-12-07 12:16:18.101789+00,2024-12-07 12:16:18.102477+00,अमरूद,Fruit
248,Mangifera indica,Mango,2024-12-07 12:16:18.101794+00,2024-12-07 12:16:18.102485+00,आम,Fruit
249,Calotropis gigantea,Aak,2024-12-07 12:16:18.101799+00,2024-12-07 12:16:18.102492+00,आक,Medicinal
250,Moringa oleifera,Moringa,2024-12-07 12:16:18.101804+00,2024-12-07 12:16:18.102501+00,सहजन,Medicinal
251,Not clearly identified,Kumat,2024-12-07 12:16:18.101809+00,2024-12-07 12:16:18.102508+00,कुमात,Commercial
252,Not clearly identified,Dhonk,2024-12-07 12:16:18.101813+00,2024-12-07 12:16:18.102516+00,ढोंक,Timber
253,Tephrosia purpurea,Rohida,2024-12-07 12:16:18.101818+00,2024-12-07 12:16:18.102523+00,रोहिडा,Timber
